titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
movie,A Walk Among the Tombstones,A Walk Among the Tombstones,0,2014,\N,114,"Crime,Drama,Mystery"
movie,Boy with a Movie Camera,Boy with a Movie Camera,0,2017,\N,\N,Documentary
movie,The Promise of Perfume,The Promise of Perfume,0,2017,\N,57,Documentary
movie,Jurassic World,Jurassic World,0,2015,\N,124,"Action,Adventure,Sci-Fi"
short,Death of a Nation,Death of a Nation,0,2010,\N,26,"Drama,Music,Short"
movie,Spy,Spy,0,2011,\N,110,"Action,Crime,Drama"
tvMiniSeries,The Pacific,The Pacific,0,2010,2010,530,"Action,Adventure,Drama"
movie,The Rum Diary,The Rum Diary,0,2011,\N,119,"Comedy,Drama"
movie,American Pastoral,American Pastoral,0,2016,\N,108,"Crime,Drama"
movie,Gnomeo & Juliet,Gnomeo & Juliet,0,2011,\N,84,"Adventure,Animation,Comedy"
movie,The Payback Man,The Payback Man,0,2010,\N,\N,"Crime,Drama,Thriller"
short,Turning It Over,Turning It Over,0,2010,\N,\N,"Drama,Short"
movie,Cloud Cuckoo Land,Cloud Cuckoo Land,0,2012,\N,92,Drama
movie,The Three Stooges,The Three Stooges,0,2012,\N,92,"Comedy,Family"
tvMiniSeries,The Crimson Petal and the White,The Crimson Petal and the White,0,2011,\N,274,"Drama,Romance"
movie,Motherless Brooklyn,Motherless Brooklyn,0,2019,\N,\N,"Crime,Drama"
video,Young Alexander the Great,Young Alexander the Great,0,2010,\N,90,"Action,Adventure,Mystery"
movie,Anderson's Cross,Anderson's Cross,0,2010,\N,98,"Comedy,Drama,Romance"
tvEpisode,Helicopters,Helicopters,0,2010,\N,44,"Documentary,History"
movie,Den milde smerte,Den milde smerte,0,2010,\N,280,Drama
tvSeries,Local 2 News,News2Houston,0,2013,\N,\N,News
movie,Tangled,Tangled,0,2010,\N,100,"Adventure,Animation,Comedy"
tvSeries,Wish ko lang,Wish ko lang,0,2015,\N,\N,Documentary
movie,The Connecticut Kid,The Connecticut Kid,0,2011,\N,87,Adventure
movie,John Carter,John Carter,0,2012,\N,132,"Action,Adventure,Sci-Fi"
movie,Capture the Flag,Capture the Flag,0,2010,\N,\N,Drama
movie,Burnt by the Sun 2,Utomlennye solntsem 2,0,2010,\N,181,"Drama,War"
movie,Action Jackson,Action Jackson,0,2014,\N,144,Action
movie,Gambit,Gambit,0,2012,\N,89,"Comedy,Crime"
movie,Bubbles,Bubbles,0,2011,\N,80,Drama
video,11:11,11:11,0,2011,\N,\N,"Crime,Drama"
movie,Seven Fallen Objects,Seven Fallen Objects,0,2011,\N,90,"Comedy,Drama"
movie,In Secret,In Secret,0,2013,\N,107,"Crime,Drama,Thriller"
movie,Cowboys & Aliens,Cowboys & Aliens,0,2011,\N,119,"Action,Sci-Fi,Thriller"
tvEpisode,Movie Theatre Tech,Movie Theatre Tech,0,2011,\N,\N,"Documentary,History"
movie,Tekken,Tekken,0,2010,\N,87,"Action,Crime,Drama"
